year,y,x1,x2,x3,x4,x5
1978,231,3010,1888,81491,14.89,180.92
1979,298,3350,2195,86389,16,420.39
1980,343,3688,2531,92204,19.53,570.25
1981,401,3941,2799,95300,21.82,776.71
1982,445,4258,3054,99922,23.27,792.43
1983,391,4736,3358,106044,22.91,947.7
1984,554,5652,3905,110353,26.02,1285.22
1985,744,7020,4879,112110,27.72,1783.3
1986,997,7859,5552,108579,32.43,2281.95
1987,1310,9313,6386,112429,38.91,2690.23
1988,1442,11738,8038,122645,37.38,3169.48
1989,1283,13176,9005,113807,47.19,2450.14
1990,1660,14384,9663,95712,50.68,2746.2
1991,2178,16557,10969,95081,55.91,3335.65
1992,2886,20223,12985,99693,83.66,3311.5
1993,3383,24882,15949,105458,96.08,4152.7
